Id,HOMO-8,HOMO-7,HOMO-56,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,color
ZINC000001693315,-12.03148692,-11.72473568,-11.56564736,-11.34429447,-10.48874548,-10.08614803,-9.4861179,-8.821180906,-8.554236659,-0.768717408,-0.434110094,0.018841437,0.518813875,0.791755631,1.491611941,1.880439376,2.682426051,3.134256724,0.334607314
ZINC000001693568,-11.76217968,-11.51173961,-11.40106132,-11.38556041,-9.782469048,-9.70734217,-9.445796415,-9.413192313,-8.117256434,-1.230073536,-0.062044077,-0.034195353,0.144958161,0.238812552,1.354529185,1.595965647,2.070959491,2.688530133,1.168029459
ZINC000001697899,-12.26833338,-11.68192626,-11.53549812,-11.49707658,-10.62430314,-10.47192527,-9.179928927,-9.103824514,-7.841911265,-0.760231962,-0.203805037,0.571538295,1.302609578,1.371507425,1.540826789,1.689757564,2.419902761,3.092439538,0.556426925
ZINC000001699878,-14.66449232,-13.93665132,-13.83911463,-12.44855262,-11.56338359,-10.93230386,-10.0738921,-10.03503691,-9.409061677,-0.83243726,-0.164236916,-0.062158001,2.221272045,3.968656404,4.16860275,4.524193993,4.714379688,4.80132886,0.668200344
ZINC000001758808,-12.54031965,-12.27527535,-11.65870429,-11.3668035,-10.98581472,-10.11658392,-9.934666848,-8.923410495,-8.346470033,-1.002811332,-0.359644706,0.382984275,0.536075086,1.089800928,1.928526017,2.407584349,3.183048954,3.526432034,0.643166626
ZINC000001845807,-13.72999085,-13.60958866,-12.78189208,-12.63926016,-12.62608549,-11.65527189,-11.27572001,-9.58918905,-9.188774516,0.479995443,0.496080672,2.751456197,3.277528086,3.57214466,3.706000816,4.762359755,5.001686799,5.188248999,0.016085229
ZINC000001867001,-11.9200369,-11.88447814,-11.44681805,-10.77641274,-9.844928394,-9.767427503,-9.765601055,-9.629793505,-8.549051313,-0.65894316,0.230610077,0.259109267,0.294175581,0.294517351,1.049479444,2.332200226,2.713652049,2.962651545,0.889553237
ZINC000002034704,-13.24010981,-12.99166523,-12.25760254,-11.56741133,-11.54585044,-11.51165876,-10.10181432,-9.203474292,-8.444161065,-0.170260149,0.160914767,1.137281203,2.032541628,3.09427701,3.727499237,3.91456858,4.197425334,4.470980806,0.331174916
ZINC000002040927,-12.18003917,-11.60410932,-11.40884485,-11.21199649,-10.73993892,-9.752363908,-9.645272368,-8.753238544,-8.549374708,-0.732559635,-0.522492494,0.246048517,0.249815334,0.983547276,1.287950227,1.982459493,2.629525234,3.042691823,0.210067141
ZINC000002041197,-11.79554082,-11.79333953,-11.46746388,-11.24114247,-10.69342148,-10.49490469,-9.328179837,-8.949241675,-8.039016879,-1.320216234,-0.234138024,-0.135256309,0.811232833,0.962827943,1.326981805,1.915446892,2.654397254,3.123257617,1.08607821
ZINC000002077483,-11.95982551,-11.61156211,-11.28575996,-11.27246769,-10.31018731,-10.02679769,-9.430133805,-8.785335504,-8.379930397,-0.66121795,-0.3845939,0.074373514,0.573552164,0.862836395,1.573772661,1.944140853,2.730170922,3.200148468,0.27662405
ZINC000002143276,-11.90806393,-11.62926431,-11.37631793,-11.0098562,-10.5712884,-9.986748152,-9.507932366,-8.697184626,-8.308088919,-0.850367311,-0.375954107,0.136546214,0.511445613,1.025272589,1.415415655,2.02583853,2.724849603,3.183614895,0.474413204
